trimestre,anio,trimestre_num,puestos_ar,puestos_anr,puestos_total_asalariados,tasa_informalidad,periodo,var_ia_puestos_ar,var_ia_puestos_anr,var_ia_tasa_informalidad
2016 Q1,2016,1,10612.75,4404.15,15016.9,0.29327957168257096,no_crisis,NA,NA,NA
2016 Q2,2016,2,10546.48,4606.58,15153.06,0.3040032838251812,no_crisis,NA,NA,NA
2016 Q3,2016,3,10571.78,4778.26,15350.04,0.31128648524694397,no_crisis,NA,NA,NA
2016 Q4,2016,4,10646.71,4753.03,15399.739999999998,0.30864352255297817,no_crisis,NA,NA,NA
2017 Q1,2017,1,10655.42,4368.87,15024.29,0.2907871187257434,no_crisis,0.4020635556288399,-0.8010626341064642,-0.8498556317878214
2017 Q2,2017,2,10632.46,4613.48,15245.939999999999,0.3026038407602286,no_crisis,0.8152483103367247,0.14978574126573996,-0.46033814087264036
2017 Q3,2017,3,10706.7,4798.41,15505.11,0.3094728125114881,no_crisis,1.2762278443176012,0.42170162360355423,-0.5826378019646583
2017 Q4,2017,4,10806.51,4963.93,15770.44,0.31476166803209044,no_crisis,1.5009331521192992,4.437169552895748,1.982269197974862
2018 Q1,2018,1,10831.67,4672.34,15504.01,0.30136332471405786,no_crisis,1.6540877788017827,6.946189747005516,3.6370957677425153
2018 Q2,2018,2,10760.89,4704.98,15465.869999999999,0.3042169628995976,crisis,1.2079048498654155,1.9833184494134626,0.5330805238017877
2018 Q3,2018,3,10743.57,4785.19,15528.759999999998,0.3081501678176493,crisis,0.34436380957716395,-0.2755079286680395,-0.4273863940114975
2018 Q4,2018,4,10738.59,4988.52,15727.11,0.3171924148810557,crisis,-0.6285100370054697,0.495373625333162,0.772249957932436
2019 Q1,2019,1,10726.78,4815.06,15541.84,0.3098127377453378,crisis,-0.9683640657442427,3.0545722271923648,2.803729697134516
2019 Q2,2019,2,10655.12,4843.03,15498.150000000001,0.3124908456815813,crisis,-0.9829112647745553,2.9341251184914707,2.719730912807239
2019 Q3,2019,3,10671.5,4815.92,15487.42,0.31095689275553967,crisis,-0.6708198485233519,0.6421897563106294,0.9108302480468788
2019 Q4,2019,4,10653.59,5135.23,15788.82,0.32524469846384974,crisis,-0.7915378089674685,2.940952426771859,2.53861164549396
2021 Q1,2021,1,10468.82,4505.38,14974.2,0.30087617368540553,no_crisis,-1.3171451329352268,-7.388176286794934,-4.301053648761122
2021 Q2,2021,2,10479.42,4502.37,14981.79,0.3005228347213517,no_crisis,1.52587890625,42.226216499665156,28.041083783194367
2021 Q3,2021,3,10567.88,4683.78,15251.66,0.3070996861980925,no_crisis,2.3593874251885527,19.51284236526105,11.611670028261912
2021 Q4,2021,4,10684.39,5000.65,15685.039999999999,0.318816528360782,no_crisis,2.9699640138701744,11.429138051669652,5.596048899747519
2022 Q1,2022,1,10820.29,5080.44,15900.73,0.3195098589813172,no_crisis,3.357302924302852,12.763851217877287,6.193140875087999
2022 Q2,2022,2,10841.01,5418.95,16259.96,0.33326957753893616,no_crisis,3.4504772210675716,20.357722710483593,10.896590552910101
2022 Q3,2022,3,10956.15,5295.83,16251.98,0.3258575262829514,no_crisis,3.674057616097093,13.067436984657688,6.108062276807158
2022 Q4,2022,4,11038.66,5388.51,16427.17,0.3280242427636654,no_crisis,3.3157718877727227,7.756191695079662,2.888091922406133
2023 Q1,2023,1,11178.58,5431.41,16609.989999999998,0.32699658458554165,no_crisis,3.311279087713914,6.908259914495596,2.3431907948299857
2023 Q2,2023,2,11179.87,5391.25,16571.120000000003,0.3253401097813545,no_crisis,3.12572352576006,-0.5111691379326211,-2.379295408881188
2023 Q3,2023,3,11285.45,5437.91,16723.36,0.32516850680724446,crisis,3.0056178493357733,2.6828655753677877,-0.21144807780459907
2023 Q4,2023,4,11294.02,5723.76,17017.78,0.3363399926429887,crisis,2.3133242621840022,6.2215714548177425,2.5351022257567246
2024 Q1,2024,1,11214.13,5395.34,16609.47,0.3248351693341208,crisis,0.3180189254806898,-0.6641001139667146,-0.6609901611542401
2024 Q2,2024,2,11048.91,5561.34,16610.25,0.3348137445252179,crisis,-1.1713910805760785,3.1549269649895795,2.91191723954054
2024 Q3,2024,3,11060.02,5514.74,16574.760000000002,0.33271914646124584,crisis,-1.9975277902077426,1.412858984426002,2.3220697871818574
2024 Q4,2024,4,11106.37,5791.28,16897.65,0.3427269472382254,crisis,-1.6614987400411896,1.1796441499992927,1.8989578209381186
2025 Q1,2025,1,11146.36,5436.38,16582.74,0.3278336390729156,no_crisis,-0.6043268626277576,0.7606564183165521,0.9230742302138273
2025 Q2,2025,2,11055.73,5569.5,16625.23,0.335002884170625,no_crisis,0.061725545777813196,0.1467272276105991,0.05649100387898898
2025 Q3,2025,3,11057.98,5667.7,16725.68,0.3388621568749372,no_crisis,-0.018444812938867017,2.773657506972227,1.8463050530838299
2025 Q4,2025,4,11028.18,5756.88,16785.06,0.34297643261328825,no_crisis,-0.7040104012382087,-0.5939964912765383,0.07279421039789735
