periodo,promedio_puestos_ar,promedio_puestos_anr,promedio_var_ia_puestos_ar,promedio_var_ia_puestos_anr,diferencia_var_ia_anr_ar,promedio_tasa_informalidad,cantidad_observaciones
crisis,10919.92,5193.25,-0.13,1.98,2.11,0.32,13
no_crisis,10804.95,5003.83,1.59,7.39,5.8,0.32,23
