periodo,brecha_promedio,brecha_mediana,brecha_minima,brecha_maxima,desvio,cantidad_observaciones
Crisis,2.11,2.84,-0.98,4.33,1.96,13
No crisis,0.89,0.11,-3.64,5.29,2.58,11
